ALGORITHM_ID,SCHEMA_ID,ALGORITHM,ALGORITHM_DIMENSION,PAINTDIAGONALDOWNLEFTMONOCHROMATIC,COPY,PAINTLDOWNRIGHTPOLYCHROMATIC,PAINTDOWNMONOCHROMATIC,PAINTDOWNPOLYCHROMATIC,PAINTLDOWNRIGHTMONOCHROMATIC,PAINTZIGZAGDOWNRIGHTLEFTMONOCHROMATIC,MIRRORCOMMANDSVERTICAL,MIRRORCROSSVERTICAL,PAINTDIAGONALUPRIGHTPOLYCHROMATIC,PAINTSQUAREUPLEFTDOWNPOLYCHROMATIC,PAINTSQUARELEFTDOWNRIGHTPOLYCHROMATIC,PAINTLRIGHTUPPOLYCHROMATIC,PAINTSQUAREDOWNLEFTUPMONOCHROMATIC,MIRRORCELLSHORIZONTAL,PAINTZIGZAGRIGHTUPDOWNMONOCHROMATIC,MIRRORCELLSVERTICAL,MIRRORCOMMANDSHORIZONTAL,PAINTZIGZAGLEFTUPDOWNPOLYCHROMATIC,PAINTZIGZAGUPRIGHTLEFTPOLYCHROMATIC,PAINTLRIGHTDOWNMONOCHROMATIC,PAINTCUSTOMPATTERNPOLYCHROMATIC,FILLEMPTY,PAINTSQUARERIGHTDOWNLEFTPOLYCHROMATIC,MIRRORCROSSHORIZONTAL,PAINTDIAGONALDOWNRIGHTMONOCHROMATIC,PAINTDOT,PAINTZIGZAGRIGHTDOWNUPMONOCHROMATIC,PAINTSQUAREUPRIGHTDOWNPOLYCHROMATIC,PAINTLLEFTDOWNPOLYCHROMATIC,REPEAT,PAINTZIGZAGLEFTUPDOWNMONOCHROMATIC,PAINTSQUAREDOWNRIGHTUPPOLYCHROMATIC,PAINTDIAGONALDOWNLEFTPOLYCHROMATIC,PAINTDIAGONALDOWNRIGHTPOLYCHROMATIC,PAINTZIGZAGUPRIGHTLEFTMONOCHROMATIC,PAINTLLEFTUPMONOCHROMATIC,PAINTLLEFTDOWNMONOCHROMATIC,PAINTSQUARELEFTUPRIGHTPOLYCHROMATIC,PAINTLLEFTUPPOLYCHROMATIC,PAINTSQUARERIGHTUPLEFTMONOCHROMATIC,PAINTSQUARELEFTDOWNRIGHTMONOCHROMATIC,PAINTSQUAREDOWNLEFTUPPOLYCHROMATIC,PAINTSQUAREUPLEFTDOWNMONOCHROMATIC,PAINTSQUAREDOWNRIGHTUPMONOCHROMATIC,PAINTSQUARERIGHTUPLEFTPOLYCHROMATIC,PAINTDIAGONALUPLEFTPOLYCHROMATIC,PAINTLRIGHTUPMONOCHROMATIC,PAINTZIGZAGUPLEFTRIGHTMONOCHROMATIC,PAINTUPMONOCHROMATIC,PAINTLRIGHTDOWNPOLYCHROMATIC,PAINTZIGZAGDOWNLEFTRIGHTPOLYCHROMATIC,PAINTZIGZAGDOWNRIGHTLEFTPOLYCHROMATIC,PAINTLEFTPOLYCHROMATIC,PAINTLUPLEFTPOLYCHROMATIC,PAINTCUSTOMPATTERNMONOCHROMATIC,PAINTSQUARERIGHTDOWNLEFTMONOCHROMATIC,PAINTLDOWNLEFTPOLYCHROMATIC,PAINTLUPRIGHTPOLYCHROMATIC,PAINTRIGHTMONOCHROMATIC,PAINTUPPOLYCHROMATIC,PAINTLUPRIGHTMONOCHROMATIC,PAINTZIGZAGRIGHTUPDOWNPOLYCHROMATIC,PAINTZIGZAGLEFTDOWNUPPOLYCHROMATIC,PAINTRIGHTPOLYCHROMATIC,PAINTLDOWNLEFTMONOCHROMATIC,PAINTZIGZAGRIGHTDOWNUPPOLYCHROMATIC,PAINTDIAGONALUPLEFTMONOCHROMATIC,PAINTDIAGONALUPRIGHTMONOCHROMATIC,PAINTSQUARELEFTUPRIGHTMONOCHROMATIC,PAINTZIGZAGLEFTDOWNUPMONOCHROMATIC,PAINTLEFTMONOCHROMATIC,PAINTZIGZAGUPLEFTRIGHTPOLYCHROMATIC,PAINTSQUAREUPRIGHTDOWNMONOCHROMATIC,PAINTZIGZAGDOWNLEFTRIGHTMONOCHROMATIC,PAINTLUPLEFTMONOCHROMATIC,ALGORITHM_TYPE
11,1,"paint({blue},{c1,d1,d2,c2,c3,b3,a3,a4,b4,c4,c5,c6,d6,d5,d4,d3,e3,f3,f4,e4})",1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
12,1,"paint({blue},{f3,e3,d3,d2,d1,c1,c2,c3,b3,a3,a4,b4,c4,d4,d5,d6,c6,c5})",1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
13,1,"go(d1),paint(blue),go(d1),paint({blue},6,right),mirror(vertical),mirror(horizontal),mirror(vertical),go(f3),paint({blue},4,square down right up),go(a3),paint({blue},4,square up right down)",2.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2D
14,1,"paint({blue},{c1,c2,c3,b3,a3,a4,b4,c4,c5,c6,d6,d5,d4,d3,d2,d1,e3,f3,f4,e4})",1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
15,1,"paint({blue},{d1,d2,d3,d4,d5,d6,c6,c5,c4,c3,c2,c1,b3,a3,a4,b4,e4,f4,f3,e3})",1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
16,1,"paint({blue},{c1,c2,c3,b3,a3,a4,b4,c4,c5,c6,d6,d5,d4,d3,d2,d1}),go(e3),paint({blue},4,square up right down)",1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1D
17,1,"paint({blue},{a4,b4,c4,d4,e4,f4,f3,e3,d3,c3,b3,a3,c2,c1,d1,d2,d5,d6,c6,c5})",1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
18,1,"go(f3),paint(blue),go(e3),paint(blue),go(f4),paint(blue),go(e4),paint(blue),go(d3),paint(blue),go(d4),paint(blue),go(c4),paint(blue),go(c3),paint(blue),go(b3),paint(blue),go(b4),paint(blue),go(a4),paint(blue),go(a3),paint(blue),go(c1),paint(blue),go(c2),paint(blue),go(d2),paint(blue),go(d1),paint(blue),go(d5),paint(blue),go(d6),paint(blue),go(c6),paint(blue),go(c5),paint(blue)",0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0D
19,1,"paint({blue},{c1,d1,d2,c2,c3,d3,e3,f3,f4,e4,b3,b4,c4,d4,d5,d6,c6,c5,a4,a3})",1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
20,1,"go(d1),paint(blue),go(c1),paint(blue),go(c2),paint(blue),go(d2),paint(blue),go(d3),paint(blue),mirror(horizontal),go(c3),paint(blue),go(d3),paint(blue),go(e4),paint(blue),go(f3),paint(blue),go(e3),paint(blue),go(f4),paint(blue),go(d4),paint(blue),go(d5),paint(blue),go(d6),paint(blue),go(c6),paint(blue),go(c5),paint(blue),go(c4),paint(blue),go(b3),paint(blue),go(b4),paint(blue),go(a4),paint(blue),go(a3),paint(blue)",2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2D
